Province,Municipality,Sector
Jeonnam,Gurye-gun,Other transport equipment
Jeonnam,Boseong-gun,Other transport equipment
Jeonnam,Sinan-gun,Other transport equipment
Jeonnam,Yeosu-si,Other transport equipment
Jeonnam,Wando-gun,Other transport equipment
Jeonnam,Jangheung-gun,Other transport equipment
Jeonnam,Jindo-gun,Other transport equipment
Jeonnam,Hampyeong-gun,Other transport equipment
Jeonnam,Hwasun-gun,Other transport equipment
Jeonbuk,Gochang-gun,Other transport equipment
Jeonbuk,Muju-gun,Other transport equipment
Jeonbuk,Sunchang-gun,Other transport equipment
Jeonbuk,Imsil-gun,Other transport equipment
Jeonbuk,Jangsu-gun,Other transport equipment
Jeonbuk,Jinan-gun,Other transport equipment
Chungnam,Buyeo-gun,Other transport equipment
Chungnam,Seosan-si,Other transport equipment
Chungnam,Cheongyang-gun,Other transport equipment
Chungnam,Taean-gun,Other transport equipment
Chungbuk,Yeongdong-gun,Other transport equipment
Incheon,Ongjin-gun,Other manufactured products
Gangwon,Samcheok-si,Other chemical products
Gangwon,Hwacheon-gun,Other chemical products
Gyeongbuk,Gunwi-gun,Other chemical products
Gyeongbuk,Bonghwa-gun,Other chemical products
Gyeongbuk,Yeongdeok-gun,Other chemical products
Gyeongbuk,Yeongyang-gun,Other chemical products
Incheon,Ongjin-gun,Other chemical products
Jeonnam,Jindo-gun,Other chemical products
Gangwon,Gangneung-si,Tobacco products
Gangwon,Goseong-gun,Tobacco products
Gangwon,Donghae-si,Tobacco products
Gangwon,Samcheok-si,Tobacco products
Gangwon,Sokcho-si,Tobacco products
Gangwon,Yanggu-gun,Tobacco products
Gangwon,Yangyang-gun,Tobacco products
Gangwon,Yeongwol-gun,Tobacco products
Gangwon,Wonju-si,Tobacco products
Gangwon,Inje-gun,Tobacco products
Gangwon,Jeongseon-gun,Tobacco products
Gangwon,Cheorwon-gun,Tobacco products
Gangwon,Chuncheon-si,Tobacco products
Gangwon,Taebaek-si,Tobacco products
Gangwon,Pyeongchang-gun,Tobacco products
Gangwon,Hongcheon-gun,Tobacco products
Gangwon,Hwacheon-gun,Tobacco products
Gangwon,Hoengseong-gun,Tobacco products
Gyeonggi,Gapyeong-gun,Tobacco products
Gyeonggi,Gwacheon-si,Tobacco products
Gyeonggi,Gwangmyeong-si,Tobacco products
Gyeonggi,Gwangju-si,Tobacco products
Gyeonggi,Guri-si,Tobacco products
Gyeonggi,Gunpo-si,Tobacco products
Gyeonggi,Gimpo-si,Tobacco products
Gyeonggi,Namyangju-si,Tobacco products
Gyeonggi,Dongducheon-si,Tobacco products
Gyeonggi,Bucheon-si,Tobacco products
Gyeonggi,Seongnam-si,Tobacco products
Gyeonggi,Suwon-si,Tobacco products
Gyeonggi,Siheung-si,Tobacco products
Gyeonggi,Ansan-si,Tobacco products
Gyeonggi,Anseong-si,Tobacco products
Gyeonggi,Anyang-si,Tobacco products
Gyeonggi,Yangpyeong-gun,Tobacco products
Gyeonggi,Yeoju-si,Tobacco products
Gyeonggi,Yeoncheon-gun,Tobacco products
Gyeonggi,Osan-si,Tobacco products
Gyeonggi,Yongin-si,Tobacco products
Gyeonggi,Uiwang-si,Tobacco products
Gyeonggi,Uijeongbu-si,Tobacco products
Gyeonggi,Icheon-si,Tobacco products
Gyeonggi,Paju-si,Tobacco products
Gyeonggi,Pyeongtaek-si,Tobacco products
Gyeonggi,Pocheon-si,Tobacco products
Gyeonggi,Hanam-si,Tobacco products
Gyeonggi,Hwaseong-si,Tobacco products
Gyeongnam,Geoje-si,Tobacco products
Gyeongnam,Geochang-gun,Tobacco products
Gyeongnam,Goseong-gun,Tobacco products
Gyeongnam,Gimhae-si,Tobacco products
Gyeongnam,Namhae-gun,Tobacco products
Gyeongnam,Miryang-si,Tobacco products
Gyeongnam,Sancheong-gun,Tobacco products
Gyeongnam,Uiryeong-gun,Tobacco products
Gyeongnam,Jinju-si,Tobacco products
Gyeongnam,Changnyeong-gun,Tobacco products
Gyeongnam,Changwon-si,Tobacco products
Gyeongnam,Tongyeong-si,Tobacco products
Gyeongnam,Hadong-gun,Tobacco products
Gyeongnam,Haman-gun,Tobacco products
Gyeongnam,Hamyang-gun,Tobacco products
Gyeongnam,Hapcheon-gun,Tobacco products
Gyeongbuk,Gyeongsan-si,Tobacco products
Gyeongbuk,Gyeongju-si,Tobacco products
Gyeongbuk,Goryeong-gun,Tobacco products
Gyeongbuk,Gumi-si,Tobacco products
Gyeongbuk,Gunwi-gun,Tobacco products
Gyeongbuk,Mungyeong-si,Tobacco products
Gyeongbuk,Bonghwa-gun,Tobacco products
Gyeongbuk,Sangju-si,Tobacco products
Gyeongbuk,Seongju-gun,Tobacco products
Gyeongbuk,Andong-si,Tobacco products
Gyeongbuk,Yeongdeok-gun,Tobacco products
Gyeongbuk,Yeongyang-gun,Tobacco products
Gyeongbuk,Yeongcheon-si,Tobacco products
Gyeongbuk,Yecheon-gun,Tobacco products
Gyeongbuk,Ulleung-gun,Tobacco products
Gyeongbuk,Uljin-gun,Tobacco products
Gyeongbuk,Uiseong-gun,Tobacco products
Gyeongbuk,Cheongdo-gun,Tobacco products
Gyeongbuk,Cheongsong-gun,Tobacco products
Gyeongbuk,Chilgok-gun,Tobacco products
Gyeongbuk,Pohang-si,Tobacco products
Gwangju,Gwangsan-gu,Tobacco products
Gwangju,Nam-gu,Tobacco products
Gwangju,Dong-gu,Tobacco products
